Name,Point or Extended?,Companion?,Peak Pixel Value,Image Orientation,X_pixel,Y_pixel,Box Size,PSF Rotation Angle,Test,Comments
1RXSJ044154.5-082639,P,Yes,0.005,N,167.8933669,127.7811995,75,180,1,
1RXSJ045205.0+493248,P,No,0.009,N,167.5137979,126.4972722,75,180,1,
2E1739.1-1210,P,No,0.02,N,169.7259224,124.1279589,75,180,1,
2MASSJ07594181-3843560,U,No,ƒ,R,166.4474232,146.4737563,75,140,1,
2MASSJ17485512-3254521,U,No,ƒ,N,170,121,75,180,0,
2MASXiJ1802473-145454,P,No,0.03,N,170.5135725,120.3784288,75,180,1,
2MASXJ00253292+6821442,P,No,0.009,N,167.8917306,121.5407063,75,180,1,
2MASXJ01064523+0638015,P,No,0.004,N,164.4843973,122.2522766,75,180,1,
2MASXJ01073963-1139117,P,No,0.012,N,168.8736462,125.7785425,75,180,1,
2MASXJ03305218+0538253,P,No,0.007,N,170.0405324,123.5103354,75,180,1,
2MASXJ03342453-1513402,P,Yes,0.014,N,170.1839791,123.8556847,75,180,1,
2MASXJ03502377-5018354,P,Yes,0.0094,N,168.5118527,124.9647345,75,180,1,
2MASXJ03534246+3714077,P,No,0.017,N,165.5406657,124.6340768,75,180,1,
2MASXJ03540948+0249307,P,No,0.005,N,170.7906365,121.3672479,75,180,1,
2MASXJ04234080+0408017,P,Yes,0.013,N,169.736573,122.3358031,75,180,1,
2MASXJ04440903+2813003,P,No,0.03,N,169.6140347,122.8776998,75,180,1,
2MASXJ05020903+0331499,P,No,0.0026,N,168.6025427,125.0105707,75,180,1,"Very faint, barely above bkgrnd"
2MASXJ05054575-2351139,P,Yes?,0.005,N,166.2340693,120.8187126,75,180,1,Faint comp. 126'' away
2MASXJ05580206-3820043,P,No,0.007,N,170.456036,123.4167811,75,180,1,
2MASXJ06411806+3249313,P,No,0.002,N,169.367647,123.3268328,75,180,1,Very faint
2MASXJ06561197-4919499,P,No,0.008,N,168.319969,124.0716292,75,180,1,
2MASXJ07262635-3554214,P,No,0.025,N,165.7090957,122.4313594,75,180,1,
2MASXJ07595347+2323241,E?,No,0.03,N,167.8111755,125.1593612,75,180,1,Looks bigger than PSF but not sure if extended or not
2MASXJ08032736+0841523,U,No,ƒ,N,170,121,75,180,0,
2MASXJ09023729-4813339,P,No,0.0026,N,169.1410324,118.0679582,75,180,1,Barely detected
2MASXJ09043699+5536025,P,No,0.006,N,168.2262973,125.6925186,75,180,1,
2MASXJ09235371-3141305,P,No,0.0037,N,169.9274625,115.5556731,75,180,1,
2MASXJ09254750+6927532,P,No,0.002,N,168.471857,123.055782,75,180,1,
2MASXJ09360622-6548336,U,Yes,ƒ,N,170,121,75,180,0,
2MASXJ09594263-3112581,P,No,0.009,N,163.9369951,115.2272954,75,180,1,
2MASXJ10402231-4625264,P,No,0.034,N,169.6037748,125.1168506,75,180,1,
